"","countrycode","year","scenario","gdppc","gini","urbanization"
"418","BDI",2040,"SSP3",526.8899227,40.6932308333,19.05
"419","BDI",2040,"SSP4",636.6780675,40.1743013333,34.94
"420","BDI",2040,"SSP5",1620.723916,35.0413727593,34.94
"421","BDI",2045,"SSP1",1559.371105,34.6392837585,40.25
"422","BDI",2045,"SSP2",943.8823042,37.391187,27.47
"423","BDI",2045,"SSP3",518.665436,40.7680441667,20.04
"424","BDI",2045,"SSP4",669.7185439,39.9488215,40.25
"425","BDI",2045,"SSP5",2084.046246,33.7684491833,40.25
"426","BDI",2050,"SSP1",1920.015335,33.4353453291,45.63
"427","BDI",2050,"SSP2",1057.295955,36.4027171667,30.25
