"","countrycode","year","gdppc","scenario"
"11298","SWZ",1992,2924.609532,"Observed"
"11299","SWZ",1993,2886.893947,"Observed"
"11300","SWZ",1994,2971.862592,"Observed"
"11301","SWZ",1995,3085.534196,"Observed"
"11302","SWZ",1996,3123.398463,"Observed"
"11303","SWZ",1997,3113.986702,"Observed"
"11304","SWZ",1998,3157.648196,"Observed"
"11305","SWZ",1999,3236.736521,"Observed"
"11306","SWZ",2000,3175.635123,"Observed"
"11307","SWZ",2001,3163.025294,"Observed"
"11308","SWZ",2002,3203.764068,"Observed"
"11309","SWZ",2003,3240.938957,"Observed"
"11310","SWZ",2004,3246.233836,"Observed"
"11311","SWZ",2005,3316.344093,"Observed"
"11312","SWZ",2006,3380.192763,"Observed"
"11313","SWZ",2007,3456.037215,"Observed"
"11314","SWZ",2008,3446.124679,"Observed"
"11315","SWZ",2009,3443.789048,"Observed"
"11316","SWZ",2010,3443.797273,"Observed"
"11317","SWZ",2011,3499.0638886,"Observed"
"11318","SWZ",2012,3554.3305042,"Observed"
"11319","SWZ",2013,3609.5971198,"Observed"
"11320","SWZ",2014,3664.8637354,"Observed"
"11321","SWZ",2015,3720.130351,"Observed"
"11322","SWZ",2016,3775.3969666,"Observed"
"11323","SWZ",2017,3830.6635822,"Observed"
"11324","SWZ",2018,3885.9301978,"Observed"
"11325","SWZ",2019,3941.1968134,"Observed"
"11326","SWZ",2020,3996.463429,"Observed"
"11327","SYC",1950,NA,"Observed"
"11328","SYC",1951,NA,"Observed"
"11329","SYC",1952,NA,"Observed"
"11330","SYC",1953,NA,"Observed"
"11331","SYC",1954,NA,"Observed"
"11332","SYC",1955,NA,"Observed"
"11333","SYC",1956,NA,"Observed"
"11334","SYC",1957,NA,"Observed"
"11335","SYC",1958,NA,"Observed"
"11336","SYC",1959,NA,"Observed"
"11337","SYC",1960,3698.547509,"Observed"
"11338","SYC",1961,3781.117697,"Observed"
"11339","SYC",1962,4066.408054,"Observed"
"11340","SYC",1963,4796.809678,"Observed"
"11341","SYC",1964,4787.99507,"Observed"
"11342","SYC",1965,3532.402545,"Observed"
"11343","SYC",1966,3370.803444,"Observed"
"11344","SYC",1967,4351.128775,"Observed"
"11345","SYC",1968,5074.001337,"Observed"
