"","countrycode","sptemp","cdd","cddeq","clim.max"
"262","MKD","20",70,139.133180606508,0.268403047576573
"263","MLI","20",2986,3697.60318975919,0.999057396136979
"264","MMR","20",2021,2735.43554496131,0.994301834223073
"265","MNE","20",45,97.4392140956343,0.209079491123124
"266","MNG","20",22,59.0080077901207,0.150146633976256
"267","MOZ","20",1389,1941.78536698112,0.974864777171942
"268","MRT","20",3016,3726.08518580579,0.999106286923511
"269","MUS","20",1251,1769.17024525636,0.965288868084736
"270","MWI","20",995,1466.5213104006,0.938869315088297
"271","MYS","20",1990,2705.23831237823,0.993970807099328
"272","NAM","20",924,1378.00106254119,0.927864462717752
"273","NER","20",3003,3713.73594536883,0.999085408186979
"274","NGA","20",2378,3070.21352243993,0.996953146217013
"275","NIC","20",1754,2439.5922849622,0.990091715496578
"276","NLD","20",22,59.0080077901207,0.150146633976256
"277","NOR","20",0,0,0.051
"278","NPL","20",984,1453.04856637612,0.937309621714817
"279","NZL","20",21,57.3362627830013,0.147485696594052
"280","OMN","20",1849,2554.97327194548,0.992014648665008
"281","PAK","20",1759,2445.95525974752,0.990208913187615
"282","PAN","20",1816,2516.23597756383,0.991414733635802
"283","PER","20",636,985.067929126988,0.849594982628453
"284","PHL","20",2017,2731.58532268657,0.994260659862004
"285","PNG","20",1474,2055.89078778717,0.979694474818401
"286","POL","20",44,95.7693415329004,0.206605853792162
"287","PRI","20",1586,2212.04136955649,0.984836496766244
"288","PRT","20",203,356.230093688681,0.512515486179105
"289","PRY","20",1147,1646.62244673169,0.956349059728014
"290","PSE","20",628,973.800382508316,0.846392279469723
"291","QAT","20",2514,3213.97187929756,0.997671367036797
"292","ROU","20",115,213.727661203763,0.36365677981443
"293","RUS","20",90,172.379405788505,0.312501732329588
"294","RWA","20",197,346.70236059216,0.503752207165627
"295","SAU","20",1894,2605.50216983076,0.992734626249696
"296","SDN","20",2967,3679.57650976643,0.999025079426767
"297","SEN","20",2345,3037.10053824862,0.996758517483138
"298","SLB","20",1953,2668.00507373297,0.993536058243542
"299","SLE","20",2221,2919.23607369618,0.995959221623773
"300","SLV","20",1607,2241.4284927224,0.985647308046094
"301","SRB","20",119,220.316339408521,0.371448953742988
"302","SSD","20",2861,3578.04194794849,0.998821231374447
"303","SUR","20",2428,3121.85347313179,0.997233611154361
"304","SVK","20",46,99.1089612072178,0.211545231202785
"305","SVN","20",55,114.130316872676,0.233384703792068
"306","SWE","20",0,0,0.051
"307","SWZ","20",654,1010.42301511331,0.856559866449961
"308","TCD","20",2709,3424.66798350928,0.998429679608676
"309","TGO","20",2532,3233.57931770107,0.997755202145707
"310","THA","20",2406,3098.92324504447,0.997112409751138
"311","TJK","20",376,617.824190551072,0.701109417297073
"312","TKM","20",808,1224.87854471858,0.903948364180457
"313","TLS","20",1780,2472.33650113613,0.990680215170333
"314","TTO","20",2244,2940.4470255527,0.996116359989733
"315","TUN","20",742,1133.89103104594,0.886132832625461
"316","TUR","20",240,414.303454074615,0.5626816850239
"317","TZA","20",1004,1477.48417286822,0.940109769478755
"318","UGA","20",1009,1483.55205672533,0.940785499514309
"319","UKR","20",117,217.023035925924,0.36756609227371
"320","URY","20",353,584.38866389131,0.681824856421887
"321","USA","20",450,723.535415781588,0.754720697581496
"322","UZB","20",589,918.918866727873,0.82979041718268
"323","VCT","20",2594,3301.30496213666,0.998022232824165
"324","VNM","20",1947,2661.83183123603,0.993461006371472
"325","VUT","20",1431,1997.49367118396,0.977351454500807
"326","WSM","20",2493,3191.19642788652,0.997570048062228
"327","YEM","20",867,1304.05564173488,0.917167147786357
"328","ZAF","20",428,692.345717520735,0.739989424068946
"329","ZMB","20",902,1349.77706441939,0.92395496822677
"330","ZWE","20",734,1122.73803740816,0.883733069955322
"331","AFG","22",271,786.547887556988,0.781984916910775
"332","AGO","22",501,1271.82438927169,0.912021084368699
"333","ALB","22",92,326.75035110351,0.484887335866242
"334","ARE","22",1652,3064.76253476444,0.996921929749439
"335","ARG","22",282,812.437321619199,0.792288311083597
"336","ARM","22",38,178.626305180031,0.320486155500322
"337","AUS","22",197,604.558091928538,0.69360192147828
"338","AUT","22",22,134.48505028118,0.262016287492334
"339","AZE","22",232,692.300216531971,0.739967299647101
"340","BDI","22",270,784.179133827643,0.781017061946005
"341","BEL","22",13,109.638678506706,0.226918505105261
"342","BEN","22",2052,3442.56983485893,0.9984813782085
"343","BFA","22",2238,3639.80975691898,0.998949816875581
"344","BGD","22",1266,2597.7336177297,0.992628310401493
"345","BGR","22",58,233.691434124428,0.386974939519941
"346","BHS","22",1092,2299.63773182311,0.987127590272433
"347","BIH","22",29,153.803206587394,0.288200121564462
"348","BLR","22",12,106.877597272805,0.22291659130064
"349","BLZ","22",1202,2491.16959931741,0.991002725952142
"350","BOL","22",626,1500.59607699565,0.942643043536259
"351","BRA","22",720,1663.58690328593,0.957712087468269
"352","BRN","22",1609,3026.76209667479,0.99669524058029
"353","BTN","22",418,1108.75855550401,0.880653586767764
"354","BWA","22",650,1542.79840103396,0.946995554431978
