regnum,ISO,NAME,tslice,rcp,ssp,year,stat,data,value
126,NZL,New Zealand,future,rcp26,SSP1,2020,mean,CDD,0
126,NZL,New Zealand,future,rcp26,SSP1,2020,PopWeightAv,CDD,0
127,OMN,Oman,future,rcp26,SSP1,2020,mean,CDD,1303
127,OMN,Oman,future,rcp26,SSP1,2020,PopWeightAv,CDD,1384
128,PAK,Pakistan,future,rcp26,SSP1,2020,mean,CDD,1191
128,PAK,Pakistan,future,rcp26,SSP1,2020,PopWeightAv,CDD,1538
129,PAN,Panama,future,rcp26,SSP1,2020,mean,CDD,792
129,PAN,Panama,future,rcp26,SSP1,2020,PopWeightAv,CDD,850
130,PER,Peru,future,rcp26,SSP1,2020,mean,CDD,513
130,PER,Peru,future,rcp26,SSP1,2020,PopWeightAv,CDD,434
131,PHL,Philippines,future,rcp26,SSP1,2020,mean,CDD,958
131,PHL,Philippines,future,rcp26,SSP1,2020,PopWeightAv,CDD,1072
132,PNG,Papua New Guinea,future,rcp26,SSP1,2020,mean,CDD,853
132,PNG,Papua New Guinea,future,rcp26,SSP1,2020,PopWeightAv,CDD,579
133,POL,Poland,future,rcp26,SSP1,2020,mean,CDD,23
133,POL,Poland,future,rcp26,SSP1,2020,PopWeightAv,CDD,24
134,PRI,Puerto Rico,future,rcp26,SSP1,2020,mean,CDD,530
134,PRI,Puerto Rico,future,rcp26,SSP1,2020,PopWeightAv,CDD,462
135,PRT,Portugal,future,rcp26,SSP1,2020,mean,CDD,88
135,PRT,Portugal,future,rcp26,SSP1,2020,PopWeightAv,CDD,55
136,PRY,Paraguay,future,rcp26,SSP1,2020,mean,CDD,882
136,PRY,Paraguay,future,rcp26,SSP1,2020,PopWeightAv,CDD,620
137,PSE,Occupied Palestinian Terr.,future,rcp26,SSP1,2020,mean,CDD,402
137,PSE,Occupied Palestinian Terr.,future,rcp26,SSP1,2020,PopWeightAv,CDD,405
138,PYF,French Polynesia,future,rcp26,SSP1,2020,mean,CDD,16
138,PYF,French Polynesia,future,rcp26,SSP1,2020,PopWeightAv,CDD,33
139,QAT,Qatar,future,rcp26,SSP1,2020,mean,CDD,2218
139,QAT,Qatar,future,rcp26,SSP1,2020,PopWeightAv,CDD,2252
140,ROU,Romania,future,rcp26,SSP1,2020,mean,CDD,71
140,ROU,Romania,future,rcp26,SSP1,2020,PopWeightAv,CDD,87
141,RUS,Russian Federation,future,rcp26,SSP1,2020,mean,CDD,10
141,RUS,Russian Federation,future,rcp26,SSP1,2020,PopWeightAv,CDD,46
142,RWA,Rwanda,future,rcp26,SSP1,2020,mean,CDD,6
142,RWA,Rwanda,future,rcp26,SSP1,2020,PopWeightAv,CDD,5
143,SAU,Saudi Arabia,future,rcp26,SSP1,2020,mean,CDD,1685
143,SAU,Saudi Arabia,future,rcp26,SSP1,2020,PopWeightAv,CDD,1642
144,SDN,Sudan,future,rcp26,SSP1,2020,mean,CDD,2050
144,SDN,Sudan,future,rcp26,SSP1,2020,PopWeightAv,CDD,2229
145,SEN,Senegal,future,rcp26,SSP1,2020,mean,CDD,1923
145,SEN,Senegal,future,rcp26,SSP1,2020,PopWeightAv,CDD,1434
146,SGP,Singapore,future,rcp26,SSP1,2020,mean,CDD,nan
146,SGP,Singapore,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
147,SLB,Solomon Islands,future,rcp26,SSP1,2020,mean,CDD,877
147,SLB,Solomon Islands,future,rcp26,SSP1,2020,PopWeightAv,CDD,860
148,SLE,Sierra Leone,future,rcp26,SSP1,2020,mean,CDD,1203
148,SLE,Sierra Leone,future,rcp26,SSP1,2020,PopWeightAv,CDD,1221
149,SLV,El Salvador,future,rcp26,SSP1,2020,mean,CDD,935
149,SLV,El Salvador,future,rcp26,SSP1,2020,PopWeightAv,CDD,751
150,SOM,Somalia,future,rcp26,SSP1,2020,mean,CDD,1543
150,SOM,Somalia,future,rcp26,SSP1,2020,PopWeightAv,CDD,1571
151,SRB,Serbia,future,rcp26,SSP1,2020,mean,CDD,115
151,SRB,Serbia,future,rcp26,SSP1,2020,PopWeightAv,CDD,115
152,STP,Sao Tome and Principe,future,rcp26,SSP1,2020,mean,CDD,nan
152,STP,Sao Tome and Principe,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
153,SUR,Suriname,future,rcp26,SSP1,2020,mean,CDD,1252
153,SUR,Suriname,future,rcp26,SSP1,2020,PopWeightAv,CDD,1414
154,SVK,Slovakia,future,rcp26,SSP1,2020,mean,CDD,29
154,SVK,Slovakia,future,rcp26,SSP1,2020,PopWeightAv,CDD,34
155,SVN,Slovenia,future,rcp26,SSP1,2020,mean,CDD,28
155,SVN,Slovenia,future,rcp26,SSP1,2020,PopWeightAv,CDD,41
156,SWE,Sweden,future,rcp26,SSP1,2020,mean,CDD,0
156,SWE,Sweden,future,rcp26,SSP1,2020,PopWeightAv,CDD,0
157,SWZ,Swaziland,future,rcp26,SSP1,2020,mean,CDD,291
157,SWZ,Swaziland,future,rcp26,SSP1,2020,PopWeightAv,CDD,253
158,SYR,Syrian Arab Republic,future,rcp26,SSP1,2020,mean,CDD,736
158,SYR,Syrian Arab Republic,future,rcp26,SSP1,2020,PopWeightAv,CDD,683
159,TCD,Chad,future,rcp26,SSP1,2020,mean,CDD,1945
159,TCD,Chad,future,rcp26,SSP1,2020,PopWeightAv,CDD,1880
160,TGO,Togo,future,rcp26,SSP1,2020,mean,CDD,1492
160,TGO,Togo,future,rcp26,SSP1,2020,PopWeightAv,CDD,1475
161,THA,Thailand,future,rcp26,SSP1,2020,mean,CDD,1428
161,THA,Thailand,future,rcp26,SSP1,2020,PopWeightAv,CDD,1697
162,TJK,Tajikistan,future,rcp26,SSP1,2020,mean,CDD,78
162,TJK,Tajikistan,future,rcp26,SSP1,2020,PopWeightAv,CDD,232
163,TKM,Turkmenistan,future,rcp26,SSP1,2020,mean,CDD,681
163,TKM,Turkmenistan,future,rcp26,SSP1,2020,PopWeightAv,CDD,685
164,TLS,East Timor,future,rcp26,SSP1,2020,mean,CDD,691
164,TLS,East Timor,future,rcp26,SSP1,2020,PopWeightAv,CDD,664
165,TON,Tonga,future,rcp26,SSP1,2020,mean,CDD,nan
165,TON,Tonga,future,rcp26,SSP1,2020,PopWeightAv,CDD,nan
166,TTO,Trinidad and Tobago,future,rcp26,SSP1,2020,mean,CDD,1123
166,TTO,Trinidad and Tobago,future,rcp26,SSP1,2020,PopWeightAv,CDD,1126
167,TUN,Tunisia,future,rcp26,SSP1,2020,mean,CDD,805
167,TUN,Tunisia,future,rcp26,SSP1,2020,PopWeightAv,CDD,560
168,TUR,Turkey,future,rcp26,SSP1,2020,mean,CDD,137
168,TUR,Turkey,future,rcp26,SSP1,2020,PopWeightAv,CDD,169
169,TWN,Taiwan,future,rcp26,SSP1,2020,mean,CDD,302
169,TWN,Taiwan,future,rcp26,SSP1,2020,PopWeightAv,CDD,424
170,TZA,United Republic of Tanzania,future,rcp26,SSP1,2020,mean,CDD,297
170,TZA,United Republic of Tanzania,future,rcp26,SSP1,2020,PopWeightAv,CDD,269
171,UGA,Uganda,future,rcp26,SSP1,2020,mean,CDD,321
171,UGA,Uganda,future,rcp26,SSP1,2020,PopWeightAv,CDD,242
172,UKR,Ukraine,future,rcp26,SSP1,2020,mean,CDD,61
172,UKR,Ukraine,future,rcp26,SSP1,2020,PopWeightAv,CDD,65
173,URY,Uruguay,future,rcp26,SSP1,2020,mean,CDD,121
173,URY,Uruguay,future,rcp26,SSP1,2020,PopWeightAv,CDD,66
174,USA,United States of America,future,rcp26,SSP1,2020,mean,CDD,160
174,USA,United States of America,future,rcp26,SSP1,2020,PopWeightAv,CDD,261
175,UZB,Uzbekistan,future,rcp26,SSP1,2020,mean,CDD,476
175,UZB,Uzbekistan,future,rcp26,SSP1,2020,PopWeightAv,CDD,398
176,VCT,Saint Vincent and the Grenadines,future,rcp26,SSP1,2020,mean,CDD,1579
176,VCT,Saint Vincent and the Grenadines,future,rcp26,SSP1,2020,PopWeightAv,CDD,1579
177,VEN,Venezuela,future,rcp26,SSP1,2020,mean,CDD,1069
177,VEN,Venezuela,future,rcp26,SSP1,2020,PopWeightAv,CDD,930
178,VNM,Viet Nam,future,rcp26,SSP1,2020,mean,CDD,1010
